Szín,R,G,B
Fekete,0,0,0
Fehér,255,255,255
Piros,255,0,0
Lime,0,255,0
Kék,0,0,255
Sárga,255,255,0
Cián,0,255,255
Magenta,255,0,255
Ezüst,192,192,192
Szürke,128,128,128
Barna,128,0,0
Olíva,128,128,0
Zöld,0,128,0
Lila,128,0,128
Tengerészkék,0,0,128
